month_first,female,mean_acad,mean_person,se_acad,se_person
0,0,3.6376932,.3285273,.12188914,.015150046
1,0,4.1254973,.37344885,.14499891,.016589947
2,0,3.0620351,.33249032,.10677011,.017876627
3,0,3.0823929,.36449936,.12513159,.016477387
4,0,3.2223907,.34741428,.11152616,.014068766
5,0,3.0311816,.32786289,.095472649,.01304454
6,0,3.1051879,.33704647,.091070935,.012995727
7,0,3.4154539,.31392932,.1020433,.011331543
8,0,3.6193058,.29193783,.10601986,.012169677
9,0,3.0267212,.28754097,.098398313,.010830061
10,0,3.3980737,.34553415,.11001863,.013640386
11,0,3.6487813,.33361542,.10837761,.012689454
0,1,2.4764631,.90203559,.15806755,.045828976
1,1,2.7193785,.96709323,.20139006,.057364531
2,1,2.7247791,.85169691,.13409264,.039886996
3,1,1.6877159,.96053278,.097968385,.043286581
4,1,1.6447439,.90943396,.093808614,.040254027
5,1,1.9041291,.81063122,.10955534,.034759965
6,1,1.6075739,.86350393,.087791584,.033384979
7,1,1.7318506,.93579519,.10653768,.037351418
8,1,1.7843955,.86777842,.098264053,.040048189
9,1,1.9949973,.90661478,.12385245,.046627123
10,1,1.8196721,.96456903,.11581641,.049656488
11,1,2.285326,1.0097826,.13596216,.047103941
0,,1.6978692,.13597393,.025834618,.0034165466
1,,1.9279237,.14031816,.033200048,.0036939802
2,,1.4394417,.13976502,.022407709,.003483756
3,,1.4169316,.14747058,.021156397,.0032945995
4,,1.3857272,.13945885,.022283016,.0033898761
5,,1.6226708,.1411213,.024360456,.0030990972
6,,1.6088119,.13827398,.022305537,.0029556518
7,,1.7310426,.1479896,.022700951,.0032890178
8,,1.8731592,.13705219,.028582716,.0033174425
9,,1.4651362,.12200419,.020699913,.0028839908
10,,1.5377599,.14272974,.023252295,.0032582814
11,,1.6241441,.13559668,.023526015,.0031274054
